,payCardIDTable,payCardBank,payCardNameTable,payCardSexTable,payCardBirthDate
0,4368520028973555,dki,"H. Asman Prakasa, M.Farm",M,2011
1,5343809282239143,dki,"Mahesa Pratiwi, S.Sos",F,1999
2,213181258600684,emoney,Hj. Tari Narpati,F,1990
3,4616141698869,online,Jaiman Siregar,F,1965
4,501860613964,flazz,Syahrini Nugroho,M,1988
5,30081809729530,bni,"Hj. Ilsa Hasanah, S.Sos",F,1981
6,501870990949,flazz,"Adhiarja Haryanto, S.Kom",M,1972
7,6564588649138277,dki,Bagas Farida,F,1989
8,3534317773072837,dki,Embuh Mahendra,F,1983
9,180066139626041,emoney,Zalindra Riyanti,M,2008
10,4846183355055009,dki,"Dr. Victoria Simbolon, M.Farm",F,2007
11,213182918413344,emoney,Ella Pranowo,F,1992
12,6572765507509464,dki,Purwa Widiastuti,F,1982
13,4576755825101,online,Hani Budiman,F,2010
14,30549484631346,bni,Sutan Cakrajiya Hariyah,M,1967
15,4547316910705708,dki,"Cut Betania Widiastuti, M.TI.",M,2000
16,4031878008151924456,brizzi,Michelle Prasetya,F,2002
17,3523124906424569,dki,Zamira Samosir,M,1997
18,4972005183963596742,brizzi,Prayitna Rahayu,M,2008
19,180043656468628,emoney,"Artanto Pudjiastuti, M.TI.",M,1988
20,340576828610129,emoney,"Hani Anggraini, S.Ked",F,2005
21,180060583845298,emoney,"Dariati Pertiwi, S.I.Kom",F,2008
22,4843393991897,online,"dr. Septi Wijaya, M.Pd",M,1981
23,4665349648879,online,Jane Usamah,M,2008
24,348570207084925,emoney,Vera Manullang,F,1993
25,4216117523483012273,brizzi,Hasta Rajata,F,1999
26,213119195901823,emoney,"Diana Rahayu, S.Farm",F,2001
27,2720413485214266,dki,Carub Prayoga,F,1974
28,4572503363794093,dki,Intan Hidayat,M,1985
29,503874287322,flazz,Koko Usamah,M,1964
30,060454354857,flazz,Ir. Ika Andriani,M,1994
31,6011661620406473,dki,"Cut Karimah Halim, M.Farm",F,1999
32,4092886845612,online,Drs. Bakidin Saptono,F,1986
33,3585571569846501,dki,"Cut Karen Winarsih, S.Sos",M,1978
34,3514358786382171,dki,Rahmi Sitompul,M,1989
35,676173006153,flazz,"Sutan Asmuni Utama, S.H.",F,1998
36,3557355374722717,dki,"Sutan Pangeran Sitorus, S.E.I",F,1991
37,4088856947297247049,brizzi,Gambira Handayani,M,1988
38,630421138045,flazz,Tgk. Tania Kusumo,F,1999
39,6011723254229652,dki,Kusuma Irawan,M,1982
40,676246977083,flazz,Ir. Elma Farida,F,1995
41,4313313879973965,dki,"Cinta Salahudin, S.I.Kom",F,1999
42,344471279850612,emoney,Ajeng Mardhiyah,M,1991
43,3551477855707557,dki,Cahyadi Haryanto,F,1989
44,6011520435710604,dki,Lintang Novitasari,F,2005
45,3565530349825858,dki,"R.M. Dimas Lazuardi, M.TI.",F,2010
46,3587420173788949,dki,"dr. Farah Farida, M.Ak",M,1978
47,349863151338747,emoney,Heru Pertiwi,F,2006
48,4211847391731906144,brizzi,"R. Jasmani Aryani, S.Psi",F,2009
49,30233380446584,bni,Farhunnisa Hutasoit,F,1986
50,3531277084500012,dki,Dt. Yusuf Jailani,M,1981
51,6011520900274078,dki,Ani Rajata,M,2004
52,6011408657684089,dki,Garang Saptono,F,1983
53,213188891493799,emoney,Ghani Astuti,F,1998
54,6595421733176040,dki,Jamal Agustina,M,2004
55,3535673206566400,dki,Radit Mansur,M,2012
56,501810171105,flazz,"Drs. Vanesa Narpati, S.Psi",F,1993
57,3535763524535128,dki,Hesti Halim,M,1983
58,2691744354969548,dki,Taufan Prasetya,F,2004
59,502091823075,flazz,Diana Siregar,F,1995
60,4765840056917426,dki,"Dr. Jamalia Prayoga, S.Pt",M,2002
61,3591145612235095,dki,"Ir. Julia Hakim, M.TI.",F,1996
62,4860812082100255,dki,Pranata Rahayu,F,2002
63,4238158054725488,dki,Lamar Habibi,M,1988
64,6011593033854041,dki,"Irma Mandala, S.IP",M,1972
65,346701517420861,emoney,"Sidiq Yuniar, S.T.",F,1992
66,3524970056827079,dki,Hj. Vanesa Samosir,M,1965
67,379739700746809,emoney,drg. Danang Thamrin,M,1995
68,6011572127253435,dki,Pangeran Prasasta,F,1982
69,3514781667514531,dki,Laras Anggraini,M,1986
70,4265028120421,online,Vera Permata,M,1995
71,3591091689333647,dki,Dt. Galang Halim,F,1969
72,574994376444,flazz,Baktiadi Wahyuni,M,1973
73,6567991410759577,dki,Dr. Julia Lailasari,M,2000
74,2298386471727222,dki,Halim Nasyiah,F,1965
75,630455623870,flazz,Tiara Namaga,M,1981
76,6567216720620271,dki,Diana Marpaung,F,2000
77,4352938172213727,dki,Cut Sabrina Prasetya,M,1987
78,213179593570687,emoney,"Jaeman Aryani, S.Kom",F,1994
79,342473927316170,emoney,Salman Budiman,F,2003
80,4113825061458366,dki,Unjani Saragih,M,1949
81,4226593352319887,dki,Hasta Agustina,M,1990
82,4665251625626,online,Nabila Halim,M,1969
83,342364322153104,emoney,Talia Pradipta,F,1991
84,36141919485128,bni,Lasmono Prakasa,M,1970
85,4398478190239392,dki,Sutan Gamani Samosir,F,1987
86,3555587103058284,dki,Fitriani Lailasari,M,2010
87,213107008167005,emoney,KH. Purwadi Rajata,M,1984
88,3544305822155982,dki,R.M. Tasnim Astuti,M,1981
89,30576776998208,bni,drg. Kacung Narpati,M,1977
90,4516820826072332,dki,"Cut Ade Uwais, S.H.",M,2011
91,3551303707835653,dki,Cut Sarah Uwais,F,1992
92,180022866247337,emoney,"Dr. Fathonah Haryanto, S.Kom",F,1992
93,3570901150712522,dki,"Vanesa Maulana, S.Sos",M,1981
94,180007810978939,emoney,dr. Mursinin Saputra,F,2002
95,4768847421320676029,brizzi,"Zaenab Safitri, S.Pd",M,1971
96,5275691287740990,dki,Juli Kuswoyo,M,2008
97,4015324376932,online,Legawa Jailani,M,1983
98,180009892169890,emoney,dr. Ami Riyanti,M,2005
99,4747634445463637,dki,Bakidin Pertiwi,M,1947
100,3522854836624620,dki,Jasmani Purnawati,F,2011
101,6011126682217010,dki,Uli Usamah,F,1980
102,4884780384098,online,Karen Samosir,F,1985
103,4852715398492540,dki,Mahfud Najmudin,F,1983
104,30007618848997,bni,Ophelia Maulana,M,1990
105,6518929399854613,dki,Abyasa Yulianti,F,1991
106,639008297140,flazz,Kiandra Usada,F,1969
107,4761473638145431894,brizzi,drg. Lurhur Marpaung,F,1996
108,213155010031602,emoney,"Aditya Dabukke, S.Gz",M,1993
109,6542149298882033,dki,"Danu Jailani, S.Farm",M,1988
110,4766754096381521424,brizzi,"H. Perkasa Suryono, S.H.",F,1983
111,36476613103910,bni,Bagya Maulana,F,1982
112,3530280530685016,dki,Pranata Hutapea,M,1984
113,370762054417248,emoney,"Cici Ramadan, M.Farm",M,1996
114,5376117661283496,dki,Wage Nababan,F,1996
115,4460924364057923,dki,"T. Yusuf Pudjiastuti, S.Pd",F,2009
116,340262015344729,emoney,Drs. Farhunnisa Uyainah,M,2005
117,30298338767308,bni,KH. Bakiono Halim,M,1975
118,3576684587305722,dki,"Mulyanto Sihotang, S.Farm",M,1967
119,4174104992654753757,brizzi,"Cut Wani Yuniar, M.Pd",M,1981
120,4590767901201162,dki,Gilda Yolanda,F,2002
121,180050895764717,emoney,Kezia Nababan,M,2005
122,3588056982620979,dki,Kamaria Padmasari,F,1996
123,370366100641577,emoney,Bella Kurniawan,F,1975
124,4654755478962328725,brizzi,Gina Tamba,M,1993
125,4455844776353,online,"dr. Danang Safitri, M.Farm",F,1985
126,6011354783760932,dki,Hamima Simanjuntak,F,1990
127,374818012420587,emoney,Nrima Mustofa,M,1997
128,6524462623444995,dki,Genta Uwais,F,1966
129,30283617560772,bni,Ani Nuraini,M,1968
130,4409923433279,online,"Jamalia Suryatmi, S.H.",F,2007
131,30005579524987,bni,Ade Nasyidah,M,1976
132,6011545844809093,dki,Empluk Wacana,F,2007
133,3592875880503217,dki,Dinda Suryatmi,F,1995
134,501804983325,flazz,"Putri Kuswandari, S.Sos",M,2007
135,4617517812287676648,brizzi,Gilda Sihombing,F,1990
136,3590397432927713,dki,Halima Riyanti,F,1981
137,2223860762064974,dki,"R.M. Cakrajiya Wijaya, S.Psi",M,2003
138,4655064713412,online,Yoga Melani,F,1986
139,213143349451584,emoney,Farah Hardiansyah,M,1989
140,6533374495369730,dki,Ajeng Palastri,F,1993
141,38600284854034,bni,Wani Andriani,M,1981
142,38497762789760,bni,"Gading Latupono, S.Kom",F,2010
143,2251733167235298,dki,Marsudi Napitupulu,M,2000
144,3580580458245233,dki,Martaka Latupono,M,2006
145,4055021599319187619,brizzi,dr. Uli Mulyani,F,1982
146,4817289142720980726,brizzi,"drg. Cemeti Lestari, S.Sos",M,1974
147,340944697810503,emoney,Citra Najmudin,M,1999
148,4056423245743,online,dr. Rahman Maheswara,M,1996
149,342852689623313,emoney,Cengkir Permadi,M,1986
150,2286714348248706,dki,Maimunah Permadi,M,1993
151,378856619040909,emoney,Dr. Elma Nasyiah,F,2007
152,2398580597438768,dki,Ihsan Suryatmi,M,1948
153,4412632238541969,dki,Dt. Okta Wibowo,F,1989
154,4161732392361664115,brizzi,Tgk. Darijan Uyainah,F,1988
155,060470282058,flazz,Budi Tampubolon,F,1992
156,4548488087275,online,"Taufan Mustofa, S.Ked",M,1969
157,3597284949724150,dki,Eja Hidayanto,M,2004
158,180030427700777,emoney,Xanana Anggraini,F,1991
159,4645000410015831,dki,"Jati Sinaga, M.Ak",M,1989
160,4255482875727686428,brizzi,Cahyanto Sitompul,F,1978
161,676393848939,flazz,Icha Suwarno,F,1983
162,5552399511765932,dki,Kasiyah Kurniawan,M,1992
163,2284992821530145,dki,Yuni Nugroho,F,1951
164,30261261958450,bni,Kania Usada,F,2011
165,503824378585,flazz,"Puti Unjani Yuniar, S.Pd",F,1988
166,6532695362719255,dki,Paramita Pratiwi,M,1996
167,4191103431567687,dki,Ajimat Kuswoyo,F,1983
168,4056931773332524,dki,Maimunah Samosir,F,2003
169,2349919356746427,dki,"dr. Eva Aryani, S.Pt",M,1998
170,2238600987321566,dki,Fitriani Usamah,F,1990
171,4090835137477461,dki,Tgk. Putri Simanjuntak,M,1969
172,374717995377196,emoney,Cornelia Wibowo,F,2012
173,2709181353410366,dki,"H. Nyana Hidayat, S.Sos",F,1991
174,5435177784617599,dki,Lukita Astuti,M,1975
175,30345104506947,bni,"dr. Ami Mardhiyah, S.IP",M,1994
176,6011790632290649,dki,Salsabila Zulaika,M,1991
177,344011293557890,emoney,Ir. Dian Maryati,M,2006
178,3513378175247810,dki,Viktor Lailasari,F,2006
179,180082836502872,emoney,Puput Yulianti,F,2003
180,4765114565369218,dki,Karen Jailani,F,2002
181,6011823549049749,dki,Irma Kusumo,F,2003
182,6011411199262513,dki,Halima Kuswandari,M,1991
183,374063079214108,emoney,Amelia Laksmiwati,F,1977
184,4461445961616399,dki,Omar Palastri,M,2008
185,6535863697278705,dki,"Carla Situmorang, S.Farm",M,2011
186,6011749545712909,dki,Yuni Nasyidah,M,1986
187,3550769631948708,dki,R.M. Taufik Marpaung,M,1980
188,4313786867534452540,brizzi,Panca Puspita,M,1998
189,3501285763780256,dki,"Drs. Hamima Budiman, S.E.I",M,1996
190,30136201403066,bni,KH. Wadi Simanjuntak,F,2005
191,4819529318270,online,Drs. Karta Andriani,F,1985
192,30332092225763,bni,Rizki Permata,F,2008
193,4059165342676080,dki,Yoga Wibisono,F,1976
194,4974740436839,online,Dr. Nadine Tarihoran,M,1976
195,4121809518462653290,brizzi,R.M. Jamil Hartati,M,1984
196,5375560412897653,dki,Nasab Handayani,F,1982
197,30446271384629,bni,"Farhunnisa Gunarto, S.Pd",M,1994
198,3520181988400209,dki,"dr. Febi Napitupulu, S.H.",M,1969
199,676248712801,flazz,"H. Putu Rajata, S.Ked",M,1965
200,180067874679823,emoney,Dr. Sidiq Samosir,M,1996
201,4876613245179430,dki,Labuh Utami,F,2002
202,180042501491504,emoney,Adiarja Hutasoit,F,2009
203,4087007117880338643,brizzi,"Eka Andriani, S.Kom",F,1984
204,344271775339569,emoney,Vanesa Tarihoran,M,1980
205,4244233135747892,dki,Irwan Sirait,M,1983
206,585992004721,flazz,Sutan Aswani Budiyanto,F,2000
207,4432278243552794697,brizzi,Eva Pangestu,F,1987
208,30573086362977,bni,Hasim Wacana,M,2003
209,371249614888703,emoney,"Estiono Anggriawan, S.Gz",F,1985
210,4245641628532408,dki,T. Lanang Pradana,F,2008
211,4020388055903149763,brizzi,Gamanto Novitasari,M,1970
212,3540460448670122,dki,Diah Tampubolon,F,1993
213,630426151811,flazz,Dewi Hakim,M,1984
214,3581725375944413,dki,Karja Agustina,M,1968
215,4750963197349023,dki,Rina Wibowo,M,1994
216,213100300092310,emoney,Juli Purnawati,M,1968
217,4204640621359,online,"Puti Almira Utami, M.TI.",F,2012
218,30536449534103,bni,Koko Sitompul,F,2004
219,3505358469030767,dki,Kamila Yuliarti,F,1990
220,4958157346526893840,brizzi,Mulyanto Utama,M,1981
221,3513058280629066,dki,Vero Purwanti,F,1987
222,587280200946,flazz,Cawisono Widodo,F,2003
223,6011372756248867,dki,Bakiono Latupono,M,2003
224,675982419045,flazz,KH. Budi Siregar,F,2010
225,30066512659033,bni,Oliva Dabukke,M,1993
226,374596681643966,emoney,"Tgk. Melinda Pranowo, M.Kom.",M,1977
227,4030211235331,online,"Ir. Ami Firgantoro, S.H.",M,1978
228,4358564960766408893,brizzi,Wani Mandasari,M,1992
229,3545773988595284,dki,Jessica Widiastuti,M,2003
230,341973996498875,emoney,R.A. Rika Yolanda,F,1992
231,180010292986784,emoney,Dr. Bella Mulyani,M,1971
232,2712915329780682,dki,Nadia Mangunsong,F,1969
233,30358911331920,bni,"Lega Kusumo, S.Psi",M,1988
234,4291762431335162521,brizzi,Wardaya Hutapea,M,1986
235,4935846559749641,dki,Vicky Winarsih,F,1992
236,180097791220724,emoney,"drg. Mahdi Astuti, M.M.",F,1989
237,3513655722754806,dki,Okto Habibi,M,1971
238,341780922356956,emoney,Mala Riyanti,F,2005
239,6011780174762964,dki,Cindy Hutagalung,M,1997
240,4670946516321,online,Gaman Rajata,M,1977
241,3507211698885584,dki,Anita Utama,F,2000
242,30229195162564,bni,Raden Suwarno,F,1991
243,180060999363878,emoney,Damar Novitasari,F,1981
244,341405099507062,emoney,"drg. Adiarja Sihotang, M.TI.",M,1978
245,372466912194696,emoney,Laksana Adriansyah,M,1992
246,3554419334731599,dki,"Pia Manullang, M.TI.",M,1982
247,3590512957728623,dki,"R. Paulin Yolanda, S.Sos",F,1991
248,2279994343172643,dki,"dr. Dina Mahendra, S.E.",F,1995
249,3560166376883141,dki,Galar Haryanti,F,1989
250,4778120899947954,dki,Novi Suryono,M,2011
251,4819874948960563,dki,"Hj. Fitriani Yuniar, S.IP",M,1992
252,676274806147,flazz,Talia Sitorus,F,1996
253,3530893255743115,dki,Virman Maryati,F,1985
254,3544936548947268,dki,"Dt. Wira Suryono, S.Psi",F,1993
255,371303754975083,emoney,Titin Rajata,F,2011
256,3539026971339162,dki,"R.A. Paulin Jailani, S.E.",M,1999
257,570932264148,flazz,Drs. Uchita Hasanah,M,1984
258,344649346278061,emoney,Warsita Siregar,M,1973
259,4400969177953,online,Darsirah Utami,F,1988
260,3511437871169785,dki,Hamzah Megantara,M,1994
261,3585837116497803,dki,Salwa Irawan,M,1947
262,561283910348,flazz,Wahyu Gunawan,F,1972
263,4065427861777,online,Rusman Uyainah,M,1986
264,2276845542292512,dki,Puti Farah Gunarto,M,1965
265,6011849029007501,dki,Jasmin Halimah,M,1968
266,3547657363055626,dki,Surya Mandala,M,1992
267,4797690856671485560,brizzi,Hesti Palastri,M,2000
268,4007784622644064,dki,"Dr. Amelia Siregar, M.Pd",F,1984
269,30518304935195,bni,Bakianto Marpaung,F,1973
270,5127825458146815,dki,"Sutan Waluyo Santoso, M.Farm",F,1996
271,6549695626963872,dki,"Elvina Safitri, M.Pd",M,1973
272,503899510344,flazz,Jatmiko Suartini,F,1991
273,5300494503539646,dki,Cakrawala Purnawati,M,1984
274,213148273223826,emoney,"Salwa Prayoga, S.Psi",M,1981
275,378294380398258,emoney,drg. Vinsen Permadi,M,1988
276,4492843090013376,dki,Adika Sitompul,F,1982
277,3559894030966134,dki,Queen Prakasa,M,1996
278,6011936959423780,dki,"Ida Suartini, S.Psi",F,1998
279,676398594397,flazz,Pranata Anggraini,F,1983
280,5213279566371805,dki,Harjo Damanik,M,1983
281,180056406295612,emoney,"Tirta Jailani, M.Ak",F,2005
282,38694607728629,bni,Padmi Halimah,M,1989
283,4170462559323611,dki,Dr. Paiman Manullang,F,2006
284,4913950343782839,dki,"R.M. Usman Habibi, M.Farm",F,2007
285,4109302723569679068,brizzi,"T. Irsad Oktaviani, S.Pd",M,1991
286,2273870772629046,dki,Laila Sihombing,F,2006
287,348983390641718,emoney,"Bahuwarna Aryani, M.TI.",F,2006
288,501807240228,flazz,Emin Hutasoit,M,2012
289,5446706023593265,dki,"R.M. Argono Namaga, S.Ked",F,2012
290,30244950126662,bni,Najwa Setiawan,F,2004
291,565710381213,flazz,Dirja Zulkarnain,F,1994
292,4026350144151850,dki,Raisa Palastri,F,1987
293,5248081569838577,dki,Hilda Manullang,M,1972
294,4365172587972546,dki,Ir. Ifa Zulkarnain,M,1997
295,4034858908265765,dki,"Puti Gawati Santoso, S.H.",M,2012
296,4434860445101023854,brizzi,"Banawa Saefullah, S.H.",M,1982
297,36948489131522,bni,Citra Uyainah,F,2002
298,3586081163452283,dki,Putri Pratiwi,F,1989
299,4303833419149655838,brizzi,"R. Oliva Mustofa, M.TI.",M,1989
300,4174032858176,online,"Waluyo Mayasari, S.Farm",M,1982
301,213163988509567,emoney,Fathonah Wijayanti,M,1963
302,676390600564,flazz,"Luwes Pradana, M.TI.",M,1985
